Star,Temperature,L,R,A_M,Color,Spectral_Class
87,12010,0.00078,0.0092,12.13,Blue White,B
88,10980,0.00074,0.0087,11.19,Blue White,B
89,13720,0.00018,0.00892,12.97,white,F
90,19860,0.0011,0.0131,11.34,Blue,B
91,5300,0.59,0.91,5.49,yellow-white,F
92,4526,153,865,6506,yellowish,K
93,4077,85,795,6228,yellowish,K
94,4980,357,1.13,4.78,Yellowish,K
95,9030,45,2.63,1.45,Blue-white,A
96,11250,672,6.98,-2.3,Blue-white,A
97,5112,0.63,876,4.68,Orange-Red,K
98,7720,7.92,1.34,2.44,yellow-white,F
99,12098,689,7.01,0.02,Blue-white,A
100,36108,198000,10.2,-4.4,Blue,O
101,33300,240000,12,-6.5,Blue,B
102,40000,813000,14,-6.23,Blue,O
103,23000,127000,36,-5.76,Blue,O
104,17120,235000,83,-6.89,Blue,O
105,11096,112000,12,-5.91,Blue,O
106,14245,231000,42,-6.12,Blue,O
107,24630,363000,63,-5.83,Blue,O
108,12893,184000,36,-6.34,Blue,O
109,24345,142000,57,-6.24,Blue,O
110,33421,352000,67,-5.79,Blue,O
111,3459,100000,1289,-10.7,Red,M
112,3605,126000,1124,-10.81,Red,M
113,3615,200000,1635,-11.33,Red,M
114,3399,117000,1486,-10.92,Red,M
115,3610,132000,1522,-10.86,Red,M
116,3553,145000,1324,-11.03,Red,M
117,4015,282000,1534,-11.39,Red,K
118,3625,74000,876,-10.25,Red,M
119,6850,229000,1467,-10.07,Red,G
120,3780,200000,1324,-10.7,Red,M
121,3323,0.00043,0.0912,17.16,Red,M
122,3531,0.00093,0.0976,19.94,Red,M
123,3218,0.00054,0.11,20.02,Red,M
124,3146,0.00015,0.0932,16.92,Red,M
125,3511,0.00064,109,17.12,Red,M
126,3225,0.00076,121,19.63,Red,M
127,2935,0.00087,0.0932,16.88,Red,M
128,2861,0.00019,0.0899,16.71,Red,M
129,2856,0.000896,0.0782,19.56,Red,M
130,2731,0.000437,0.0856,18.09,Red,M
131,3095,0.00019,492,10.87,Red,M
132,3607,0.00023,0.38,10.34,Red,M
133,3100,8,0.31,11.17,Red,M
134,2989,0.0087,0.34,13.12,Red,M
135,3542,0.0009,0.62,14.23,Red,M
136,3243,0.0023,0.73,14.75,Red,M
137,3091,0.0081,0.24,11.43,Red,M
138,3598,0.0011,0.56,14.26,Red,M
139,3324,0.0034,0.34,12.23,Red,M
140,3541,0.0013,256,14.33,Red,M
141,13420,0.00059,0.00981,13.67,Blue White,B
142,21020,0.0015,0.0112,11.52,Blue,B
143,18290,0.0013,0.00934,12.78,Blue,B
144,14520,0.00082,0.00972,11.92,Blue White,B
145,11900,0.00067,0.00898,11.38,Blue white,B
146,8924,0.00028,0.00879,14.87,Blue white,A
147,12912,0.00071,0.00945,12.83,Blue white,B
148,14732,0.00011,0.00892,12.89,white,F
149,7723,0.00014,0.00878,14.81,White,A
150,12984,0.00088,0.00996,11.23,Blue White,B
151,29560,188000,6.02,-4.01,Blue-white,B
152,8945,38,2487,0.12,Blue-White,A
153,14060,1092,5745,-2.04,Blue-white,A
154,16390,1278,5.68,-3.32,Blue-white,B
155,25070,14500,5.92,-3.98,Blue-white,B
156,28700,16790,6.4,-4.09,Blue-white,B
157,26140,14520,5.49,-3.8,Blue-white,B
158,20120,4720,6.78,-3.4,Blue-white,B
159,13023,998,6.21,-1.38,Blue-white,A
160,37800,202900,6.86,-4.56,Blue,O
161,25390,223000,57,-5.92,Blue,O
162,11567,251000,36,-6245,Blue,O
163,12675,452000,83,-5.62,Blue,O
164,5752,245000,97,-6.63,Blue,O
165,8927,239000,35,-7.34,Blue,O
166,7282,131000,24,-7.22,Blue,O
167,19923,152000,73,-5.69,Blue,O
168,26373,198000,39,-5.83,Blue,O
169,17383,342900,30,-6.09,Blue,O
170,9373,424520,24,-5.99,Blue,O
171,3570,320000,1480,-7.58,Red,M
172,3500,138000,1420,-8.18,Red,M
173,4287,630000,1315,-9.2,Orange,K
174,26000,316000,1679,-9.1,Blue,B
175,3600,240000,1190,-7.89,Red,M
176,3614,145000,1553,-7.71,Red,M
177,18000,200000,1045,-8.3,Blue,O
178,11000,170000,1779,-9.9,Blue-white,B
179,12100,120000,708.9,-7.84,Blue-white,B
180,24490,248490,1134.5,-8.24,Blue-white,B
181,2831,0.000231,0.0915,16.21,Red,M
182,2914,0.000631,116,18.39,Red,M
183,3419,0.000245,126,17.56,Red,M
184,3218,0.000452,0.0987,17.34,Red,M
185,3453,0.000621,0.0773,17.08,Red,M
186,2889,0.000352,0.0973,16.93,Red,M
187,2968,0.000461,119,17.45,Red,M
188,3484,0.000551,0.0998,16.67,Red,M
189,2778,0.000849,112,19.45,Red,M
190,3523,0.000957,129,16.35,Red,M
191,3462,0.0053,148,11.47,Red,M
192,3257,0.0024,0.46,10.73,Red,M
193,2994,0.0072,0.28,13.45,Red,M
194,3212,0.0016,378,12854,Red,M
195,3523,0.0054,319,12.43,Red,M
196,3598,0.0027,0.67,13667,Red,M
197,3142,0.00132,258,14.12,Red,M
198,3496,0.00125,336,14.94,Red,M
199,3324,0.0065,471,12.78,Red,M
200,3463,0.0027,675,14776,Red,M
201,16790,0.0014,0.0121,12.87,Blue,B
202,15680,0.00122,0.0114,11.92,Blue,B
203,14982,0.00118,0.0113,12.23,Blue,B
204,13340,0.00109,0.0116,12.9,Blue,B
205,18340,0.00134,0.0124,11.22,Blue,B
206,19920,0.00156,0.0142,11.34,Blue,B
207,24020,0.00159,0.0127,10.55,Blue,B
208,23092,0.00132,0.0104,10.18,Blue,B
209,17920,0.00111,0.0106,11.66,Blue,B
210,19360,0.00125,0.00998,11.62,Blue,B
211,22350,12450,6.36,-3.67,Blue-white,B
212,10012,552,5856,13,Blue-white,A
213,13089,788,5992,-0.12,Blue-white,A
214,22012,6748,6.64,-2.55,Blue-white,B
215,34190,198200,6.39,-4.57,Blue,O
216,32460,173800,6237,-4.36,Blue,O
217,9320,29,1.91,1236,Blue-white,A
218,19400,10920,6.03,-3.08,Blue-white,B
219,17140,883,5653,-2.64,Blue-white,B
220,8250,9.25,1.93,-0.98,yellow-white,F
221,23678,244290,35,-6.27,Blue,O
222,12749,332520,76,-7.02,Blue,O
223,9383,342940,98,-6.98,Blue,O
224,23440,537430,81,-5975,Blue,O
225,16787,246730,62,-6.35,Blue,O
226,18734,224780,46,-7.45,Blue,O
227,9892,593900,80,-7262,Blue,O
228,10930,783930,25,-6224,Blue,O
229,23095,347820,86,-5905,Blue,O
230,21738,748890,92,-7346,Blue,O
231,24145,382993,1494,-8.84,Blue-white,B
232,38234,272830,1356,-9.29,Blue,O
233,32489,648430,1948.5,-10.84,Blue,O
234,27739,849420,1252,-7.59,Blue-white,B
235,21904,748490,1130,-7.67,Blue-white,B
236,38940,374830,1356,-9.93,Blue,O
237,30839,834042,1194,-10.63,Blue,O
238,8829,537493,1423,-10.73,White,A
239,9235,404940,1112,-11.23,White,A
240,37882,294903,1783,-7.8,Blue,O
